Cantidad,Algoritmo,Tiempo
10,OrdenamientoInsercion,0.0036
10,OrdenamientoMezcla,0.0198
10,OrdenamientoRapido,0.004
10,OrdenamientoRadix,0.5364
10,OrdenamientoCubetas,0.1379
100,OrdenamientoInsercion,0.0318
100,OrdenamientoMezcla,0.0307
100,OrdenamientoRapido,0.0227
100,OrdenamientoRadix,0.0357
100,OrdenamientoCubetas,0.0994
500,OrdenamientoInsercion,0.9137
500,OrdenamientoMezcla,0.2569
500,OrdenamientoRapido,0.2081
500,OrdenamientoRadix,0.1354
500,OrdenamientoCubetas,0.2955
1000,OrdenamientoInsercion,0.4061
1000,OrdenamientoMezcla,0.092
1000,OrdenamientoRapido,0.0775
1000,OrdenamientoRadix,0.1537
1000,OrdenamientoCubetas,0.3578
3000,OrdenamientoInsercion,1.1871
3000,OrdenamientoMezcla,0.3835
3000,OrdenamientoRapido,0.2018
3000,OrdenamientoRadix,0.455
3000,OrdenamientoCubetas,1.0248
